id,name,location,phone,description,images,website
1,Bheri Zonal Hospital,Nepalgunj,	081-520039,Bheri Zonal Hospital is the major referral centre with specialties services for Mid-western and far western region of the country (NEPAL).,BheriZonalHospital.jpg,https://bherihospital.gov.np/
2,Lumbini Provincial Hospital,Butwal,071-540200,Lumbini Zonal Hospital is the biggest governmental hospital in Lumbini Zone Nepal. This hospital lies in Butwal city. It is one of the oldest hospital in this region and is backbone for the health service to poor citizens who cannot afford private hospitals.,LumbiniProvincialHospital.jpg,http://lzhospital.gov.np/
3,Nepal Cancer Hospital,Lalitpur,01-5251311,Nepal Cancer Hospital and Research Center (NCHRC) Pvt. Ltd. is the first ever effort from the private sector established to provide the highest quality of state-of-the-art treatment and excellent care to the patients and their families from all around the globe. The hospital will contribute to reduce the burden of cancer increase survival and improve the quality of life of the patients and families; thus emphasis has been given to preventive and palliative oncology.,NepalCancerHospital.jpg,http://nepalcancerhospital.com/
4,Bhaktapur Cancer Hospital,Bhaktapur,01-6611531,Bhaktapur Cancer Hospital is a cancer hospital located in Bhaktapur Bagmati Pradesh Nepal run by the Nepal Cancer Relief Society. The hospital is supported by the Nepalese Government and Rotary International.,BhaktapurCancerHospital.jpg,http://anmf.info/nepal/care/hospitals/bch.htm
5,Sushil Koirala Prakhar Cancer Hospital,Banke District,977-81-690669,Khajura is a historic place of the Banke district. The people of the Khajura and villages next to it are deprived of basic health facilities. Observing their needs Prakhar Paropakar Mission Nepal was registered in 2005 to provide the basic health service in the future. The Mission Nepal is non profitable non governmental organization whose aim is to work for humanity.,SushilCancerHospital.jpg,http://nepalcancerhospital.org/home
6,Civil Service Hospital of Nepal,Kathmandu,01-4106999,The need for such a hospital arose in view of the fact that Nepal Army and Nepal Police employees had hospitals dedicated to them while civil service employees of Nepal Government had none. Thus Nepal Government approached the Peoples Republic of China (PRC) with the request to help build Civil Service Hospital (CSH). An agreement to this effect was signed between the Government of Nepal and PRC . CSH is located at Minbhawan Kathmandu. CSH is an autonomous government institution under the Ministry of General Administration (MoGA).,CivilHospital.jpg,https://www.civilservicehospital.org/
7,Shukraraaj Tropical & Infectious Disease Hospital,Kathmandu,01-4253396,Infectious Disease Hospital (STIDH) is the only Infectious & Tropical Disease Hospital established in 1933 in Kathmandu Nepal. This is the national referral hospital with the capacity 100 beds inpatient service. It receives patients from all over the country and referred patients from the Valley hospitals. It provides training to Undergraduate and Postgraduate medical students . Students from different countries undergo training in Infectious and Tropical Diseases. Nepal is located in South Asia in between China and India. The country is one of the most famous destination for travel for its natural beauty and world famous Himalay's.,TekuHospital.jpg,http://www.stidh.gov.np/
8,Bir Hospital,Kathmandu,01-4221119,Bir Hospital is the oldest and one of the busiest hospitals in Nepal. It is located at the center of Kathmandu city. The hospital is run by the National Academy of Medical Sciences a government agency since 2003. The hospital provides medical and surgical treatments. It current has a capacity of 535 beds.,BirHospital.jpg,https://nams.org.np/index.php
9,Patan Academy of Health Science,Lalitpur,01-5522295,Patan Academy of Health Sciences is an autonomous not-for-profit public institution of higher education established in 2064 B.S. with the charter granted by the Parliament of Nepal.,PatanHospital.jpg,https://www.pahs.edu.np/
10,Gandaki Medical College Teaching Hospital & Research Centre,Pokhara,061-538595,Gandaki Medical College Teaching Hospital and Research Center (GMCTHRC) Pokhara was established in 2007 A.D with the aim of imparting quality medical education to the students from different parts of the world. Presently GMCTHRC is conducting MBBS BDS BSc. Nursing BNS BSc. MIT BSc. MLT BPH BPharmaProgram and also Post Graduate program in different departmentwith the affiliation of TU-Institute of Medicine (IOM).,GMCTeachingHospital.jpg,http://www.gmc.edu.np/
11,Nepal Eye Hospital,Kathmandu,01-4260813,Nepal eye hospital is the first hospital in Nepal dedicated to eye care service established in the year 1973. Before the establishment of this historical hospital eye service was available at Bir Hospital as government owned general hospital with the few beds provided by the Government of Nepal.,NepalEyeHospital.jpg,http://www.nepaleyehospital.org/
12,Tilganga Eye Hospital,Kathmandu,01-4493683,Tilganga Institute of Ophthalmology formerly called the Tilganga Eye Centre in Nepal is the implementing body of the Nepal Eye Program a non-profit community based non-government organization launched in 1992. The current facility was opened in 1994.,TilgangaEyeHospital.jpg,http://tilganga.org/
